user_id,studying_style_dim_1,studying_style_dim_2,studying_style_dim_3,studying_style_dim_4,user_location,module_1,module_2,module_3,module_4,module_5,module_6
32,9,-11,5,3,EUNOS,1,4,9,11,17,26
33,3,-11,1,7,POTONG PASIR,2,6,9,12,15,24
34,3,9,5,-1,CLARKE QUAY,3,5,9,10,15,27
35,1,9,-1,-11,TUAS WEST ROAD,3,7,7,11,17,27
36,11,1,5,-7,TELOK AYER,3,5,6,11,16,23
37,5,1,3,-3,LAVENDER,1,7,9,11,16,22
38,11,7,11,-5,SIMEI,2,6,9,14,19,26
39,1,-3,1,7,CANBERRA,1,5,8,10,17,22
40,11,-9,-9,1,HARBOURFRONT,3,7,6,10,17,27
41,-11,-1,-11,11,KING ALBERT PARK,2,7,7,12,15,22
42,1,3,-7,11,BEDOK RESERVOIR,3,6,8,10,19,22
43,-3,7,11,9,SPRINGLEAF,1,5,6,10,18,25
44,7,5,11,-9,BUANGKOK,2,5,6,10,16,23
45,3,3,7,-1,BUKIT BROWN,3,7,8,13,15,23
46,3,11,1,7,BARTLEY,2,4,9,10,15,25
47,-1,11,-9,-9,UTOWN RESIDENCE,3,6,9,10,19,27
48,7,-11,5,7,HOLLAND VILLAGE,2,4,7,12,19,25
49,5,-11,-1,3,BENDEMEER,3,4,6,12,16,27
50,-3,5,1,-5,WOODLANDS NORTH,1,4,6,11,18,25
51,11,-7,-11,-1,TOA PAYOH,2,4,8,14,16,23
52,3,3,-9,-11,SHEARES HALL,3,6,6,12,15,24
53,-11,5,9,5,POTONG PASIR,3,6,6,10,16,22
54,-1,-1,11,-11,HOUGANG,3,6,6,14,18,23
55,-1,-9,3,9,COMMONWEALTH,1,6,9,10,18,25
56,7,7,-7,-5,GEYLANG BAHRU,2,6,6,10,20,27
57,-3,1,-3,11,RAFFLES HALL,1,4,6,14,17,25
58,-9,7,-3,-1,BAYFRONT,2,7,9,12,18,24
59,11,-9,-1,7,CITY HALL,3,4,7,10,19,21
60,-3,-1,11,1,LITTLE INDIA,1,4,7,14,19,25
61,-11,5,11,-11,KOVAN,3,6,8,12,15,25
62,11,3,5,7,KING EDWARD VII HALL,1,4,8,11,20,25
63,-3,3,-11,-7,MATTAR,3,5,9,12,16,24
64,-1,-5,-9,-11,SIXTH AVENUE,2,6,9,12,15,27
65,-3,11,-11,-1,BUKIT PANJANG,2,7,9,14,17,21
66,-3,3,-9,1,TAMPINES WEST,3,4,6,12,15,23
67,3,-1,-1,-9,YISHUN,3,5,9,12,15,22
68,1,7,7,1,HAW PAR VILLA,1,6,9,13,20,26
69,1,11,-7,1,KENT RIDGE HALL,1,6,8,12,17,24
70,3,-5,5,5,FORT CANNING,2,7,6,12,20,27
71,5,11,11,3,CHINESE GARDEN,2,7,9,14,19,22
72,11,-9,-3,5,TUAS WEST ROAD,2,5,9,12,19,26
73,1,-9,-11,5,NICOLL HIGHWAY,3,6,7,14,17,21
74,-11,9,5,-5,CALDECOTT,1,6,6,14,19,21
75,-5,11,-5,5,TELOK AYER,2,7,8,11,16,25
76,5,-3,3,-3,LAVENDER,2,5,7,10,15,21
77,9,5,7,-3,BRAS BASAH,2,4,8,13,15,24
78,7,-11,-1,-1,STEVENS,1,6,8,11,20,25
79,-1,9,-11,-7,QUEENSTOWN,3,7,6,10,19,26
80,-9,3,11,5,BAYFRONT,2,6,7,12,18,21
81,11,3,-9,9,NOVENA,3,5,6,14,18,27
82,-5,7,5,-7,TELOK BLANGAH,3,4,7,10,16,27
83,7,-1,1,-5,KENT RIDGE HALL,3,4,6,14,19,25
84,11,-5,7,5,TAI SENG,2,7,6,12,18,25
85,-9,-9,1,7,BUKIT PANJANG,1,6,9,11,15,27
86,3,-1,-9,-3,TELOK BLANGAH,1,5,6,13,16,24
87,-5,9,7,11,TEMASEK HALL,2,4,7,13,16,25
88,-11,-9,-3,9,PRINCE GEORGE'S PARK RESIDENCE,3,5,6,10,16,23
89,-11,9,-11,3,UBI,3,5,6,13,15,22
90,7,-1,7,7,EUSOFF HALL,1,7,6,14,17,26
91,7,5,9,7,TUAS WEST ROAD,1,7,6,10,15,22
92,-7,7,-11,-9,LORONG CHUAN,3,4,7,14,17,27
93,-3,3,7,-11,HARBOURFRONT,1,4,6,14,15,23
94,1,-3,-3,9,PASIR PANJANG,3,6,7,10,18,26
95,1,11,-11,11,BENCOOLEN,2,4,9,12,15,26
96,1,-3,-11,-3,DOWNTOWN,1,7,7,13,18,24
97,-3,-7,9,-1,KEMBANGAN,2,4,8,12,16,23
98,-5,-5,11,7,TANAH MERAH,2,5,7,14,16,23
99,-3,11,3,-5,LAKESIDE,1,6,9,12,20,22
